Item#, Price , Net ,Description,Wt. (LB),CuFt,Page
8480GRY-2LCN, $ 269.88 , Net ,(1/4) LEFT SIDE RECLINING LOVE SEAT W/ CENTER CONSOLE,157.52,41.39,S-4
8480GRY-2R, $ 229.06 , Net ,(3/4) RIGHT SIDE RECLINING LOVE SEAT,131.12,33.11,S-4
8480GRY-AR, $ 110.00 , Net ,(4/4) ARMLESS RECLINING CHAIR,61.60,11.92,S-4
8480GRY-CR, $ 190.06 , Net ,(2/4) CORNER SEAT,101.20,33.61,S-4
8480GRY-2LCNPD, $ 344.88 , Net ,(1/4) POWER LEFT SIDE RECLINING LOVE SEAT WITH CENTER CONSOLE AND LED,161.92,41.39,S-4
8480GRY-2RPD, $ 304.06 , Net ,(3/4) POWER RIGHT SIDE RECLINING LOVE SEAT WITH LED,135.52,33.11,S-4
8480GRY-ARPD, $ 160.00 , Net ,(4/4) POWER ARMLESS RECLINING CHAIR WITH LED,50.60,11.92,S-4
8480GRY*4SC, $ 799.00 , Net ,(4) SECTIONAL AS SHOWN ON S- 4,451.44,120.03,S-4
8480GRY*4SCPD, $ 999.00 , Net ,(4) SECTIONAL AS SHOWN ON S- 4 TOP,449.24,120.03,S-4
8480RED-1, $ 245.00 , Net ,GLIDER RECLINING CHAIR,122.10,25.81,S-5
8480RED-2, $ 359.00 , Net ,DOUBLE RECLINING LOVE SEAT,182.60,39.54,S-5
8480RED-3, $ 379.00 , Net ,DOUBLE RECLINING SOFA,213.40,53.51,S-5
8480RED-1PW, $ 295.00 , Net ,POWER RECLINING CHAIR,126.50,25.81,S-5
8480RED-2PW, $ 459.00 , Net ,POWER DOUBLE RECLINING LOVE SEAT,191.40,39.54,S-5
8480RED-3PW, $ 479.00 , Net ,POWER DOUBLE RECLINING SOFA,222.20,53.51,S-5
8480RED-2LCN, $ 269.88 , Net ,(1/4) LEFT SIDE RECLINING LOVE SEAT W/ CENTER CONSOLE,157.52,41.39,S-6
8480RED-2R, $ 229.06 , Net ,(3/4) RIGHT SIDE RECLINING LOVE SEAT,131.12,33.11,S-6
8480RED-AR, $ 110.00 , Net ,(4/4) ARMLESS RECLINING CHAIR,61.60,11.92,S-6
8480RED-CR, $ 190.06 , Net ,(2/4) CORNER SEAT,101.20,33.61,S-6
8480RED-2LCNPD, $ 344.88 , Net ,(1/4) POWER LEFT SIDE RECLINING LOVE SEAT WITH CENTER CONSOLE AND LED,161.92,41.39,S-6
8480RED-2RPD, $ 304.06 , Net ,(3/4) POWER RIGHT SIDE RECLINING LOVE SEAT WITH LED,135.52,33.11,S-6
8480RED-ARPD, $ 160.00 , Net ,(4/4) POWER ARMLESS RECLINING CHAIR WITH LED,50.60,11.92,S-6
8480RED*4SC, $ 799.00 , Net ,(4) SECTIONAL AS SHOWN ON S- 6,451.44,120.03,S-6
8480RED*4SCPD, $ 999.00 , Net ,(4) SECTIONAL AS SHOWN ON S- 6 TOP,449.24,120.03,S-6
8490-AC, $ 115.00 , Net ,(3/6) ARMLESS CHAIR,46.20,17.70,S-19
8490-AR, $ 135.00 , Net ,(4/6) ARMLESS RECLINING CHAIR,63.80,17.70,S-19
8490-CN, $ 63.04 , Net ,(5/6) CONSOLE,28.60,6.60,S-19
8490-CR, $ 198.04 , Net ,(6/6) CORNER SEAT,66.00,33.51,S-19
8490-LC, $ 218.88 , Net ,"(1/6) LEFT SIDE CHAISE, PUSH BACK RECLINER",101.20,37.22,S-19
